radius,accelX,accelY,accelZ,rotAlpha,rotBeta,rotGamma,class
25.52,-0.07,-0.45,-4.21,-7.31,22.57,-5.83,knuckle
25.52,-0.05,-0.00,-0.12,7.78,-2.99,-2.64,knuckle
25.52,0.02,0.10,-0.13,13.78,-8.08,-6.29,knuckle
25.52,-0.94,-0.30,5.32,-47.43,69.68,-6.59,knuckle
25.52,0.17,0.39,5.93,-9.79,58.52,5.35,knuckle
25.52,-0.21,0.17,-0.59,11.12,-1.85,-4.31,knuckle
25.52,-0.50,-0.54,3.34,-17.35,35.04,-6.48,knuckle
25.52,-0.12,0.03,-0.22,3.93,-1.89,-3.18,knuckle
25.52,-0.40,0.35,4.43,7.88,15.73,-1.13,knuckle
25.52,0.07,-0.71,1.99,-38.72,58.81,-3.01,knuckle
25.52,-0.42,-0.64,4.99,-24.12,34.94,-4.00,knuckle
25.52,0.02,0.80,5.40,-5.52,32.66,1.72,knuckle
25.52,0.51,-0.13,4.30,0.01,11.58,-7.80,knuckle
25.52,-0.11,-1.19,4.39,-27.66,26.06,-1.15,knuckle
25.52,-0.07,0.04,-0.00,-1.77,-2.16,1.10,knuckle
25.52,-0.20,-0.55,1.24,-47.86,66.98,-11.43,knuckle
38.29,-0.06,-0.25,-1.29,-53.99,13.53,6.30,pad
38.29,0.11,-0.10,-0.41,9.40,1.83,0.01,pad
51.05,0.21,-0.45,5.65,23.19,45.24,-4.53,pad
38.29,-0.46,0.29,-0.70,-8.38,-7.80,5.06,pad
51.05,1.67,-1.59,6.97,-13.80,32.84,-6.42,pad
51.05,0.88,-0.63,4.85,12.72,-12.52,-5.43,pad
51.05,-0.19,-0.54,0.53,33.72,-40.12,-3.75,pad
51.05,0.99,-0.97,5.10,29.80,28.88,-9.01,pad
51.05,-0.52,0.43,0.66,-41.85,37.07,-3.50,pad
51.05,-0.07,-0.59,2.34,21.03,-14.54,-3.90,pad
38.29,-0.15,-0.51,1.98,21.51,-16.05,0.89,pad
51.05,0.52,-1.16,7.42,0.95,8.79,-5.50,pad
51.05,-0.66,0.56,0.56,28.59,-6.96,-10.31,pad
51.05,0.93,-0.25,4.44,-12.30,32.80,0.04,pad
51.05,-0.52,0.32,0.48,-31.13,18.09,-3.13,pad
38.29,-0.34,0.23,-0.67,25.74,5.85,-12.14,pad
51.05,0.41,0.60,2.37,-33.30,44.77,6.73,pad
51.05,1.10,-1.05,6.57,18.82,22.64,-8.22,pad
51.05,1.52,-0.66,5.04,15.06,5.84,-2.72,pad
38.29,-0.07,-0.02,-0.29,9.50,6.16,-3.78,pad
51.05,1.70,-0.37,5.85,-21.07,23.09,4.60,pad
51.05,1.64,-0.84,5.91,-36.75,26.11,3.83,pad
51.05,-0.28,0.25,-0.67,-4.63,-4.68,7.94,pad
25.52,-0.00,0.06,-1.07,12.86,-28.28,0.72,knuckle
25.52,-0.67,-0.36,6.24,-41.57,39.01,-7.01,knuckle
25.52,0.04,-0.00,-0.27,4.40,-2.36,-3.61,knuckle
25.52,-0.51,-0.56,4.62,-41.94,31.76,-6.82,knuckle
25.52,0.31,0.25,5.08,-0.89,16.38,2.05,knuckle
25.52,-0.27,0.06,7.97,16.12,0.28,-5.05,knuckle
25.52,0.06,0.00,-0.49,17.55,1.56,-5.95,knuckle
25.52,0.50,-0.26,6.12,-49.37,6.92,-1.48,knuckle
25.52,-0.02,0.00,-0.17,14.14,0.48,-3.66,knuckle
25.52,-0.09,-0.36,5.37,-38.90,37.18,-5.56,knuckle
