f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,class
38.29,1.84,0.73,-0.58,1.84,0.57,-1.42,0.30,-1.42,0.30,-0.27,7.01,-1.22,-2.33,7.01,-0.53,-15.11,32.01,-26.26,32.01,2.17,32.34,-31.96,-31.96,32.34,-16.12,-2.65,2.47,-2.65,7.90,2.68,pad
51.05,1.39,-0.17,-0.79,1.39,0.01,-0.62,0.57,-0.62,0.57,0.09,-1.85,1.12,-1.85,1.12,-0.82,-13.87,20.39,-13.87,20.39,3.91,-16.65,-2.61,-16.65,-2.61,-11.53,5.43,0.11,-0.51,7.28,2.70,pad
51.05,0.81,0.49,-0.69,0.81,0.03,-0.03,0.17,-0.66,0.37,0.11,-0.76,0.60,-1.36,0.60,-0.63,-20.40,17.71,-20.40,17.71,0.12,-12.19,-0.30,-30.54,-0.30,-10.56,2.94,-5.14,-5.51,6.71,-0.76,pad
51.05,0.81,0.15,-0.99,0.81,0.01,-0.01,-0.25,-0.71,0.47,0.08,-0.68,1.47,-1.24,1.47,-0.33,-22.70,2.52,-22.70,10.31,-2.00,-6.81,2.23,-27.85,2.23,-12.81,5.60,-5.35,-6.16,9.37,-1.05,pad
38.29,1.42,0.21,-0.57,1.42,0.09,-0.58,-0.01,-0.58,0.30,0.02,-0.74,1.25,-2.63,1.25,-0.34,8.85,13.10,-8.23,16.52,5.88,20.50,8.92,-43.50,20.50,-12.24,10.65,-4.55,-10.29,10.65,-5.26,pad
63.82,0.93,0.08,-0.71,0.93,-0.10,0.06,0.31,-0.75,0.34,0.10,-3.10,0.28,-3.10,0.28,-0.88,-21.00,7.18,-21.00,7.18,-8.15,-28.76,-10.35,-45.84,-10.35,-23.88,6.89,-9.87,-9.87,6.89,-3.12,pad
51.05,1.14,0.81,-0.62,1.14,-0.04,-0.32,-0.39,-0.56,0.46,0.03,-0.80,0.58,-1.38,1.06,-0.28,-9.55,-0.38,-20.84,8.15,-3.40,14.63,-0.33,-35.46,14.63,-9.96,11.14,-8.94,-16.86,11.14,-3.23,pad
51.05,0.83,0.34,-0.78,0.84,0.00,-0.03,-0.07,-0.65,0.43,0.05,-2.56,0.28,-2.56,1.04,-0.50,-21.88,-4.58,-21.88,8.77,-4.62,-15.28,-10.49,-36.08,-1.21,-13.94,8.20,-6.22,-10.29,8.20,-2.16,pad
38.29,0.12,0.43,-0.40,0.87,0.01,0.20,0.04,-0.34,0.40,0.10,-1.06,1.07,-1.33,1.07,-0.40,2.39,6.66,-14.56,8.29,-0.06,24.97,-1.30,-11.72,24.97,-3.64,11.84,-3.51,-6.91,11.84,0.81,pad
51.05,0.58,0.22,-0.41,0.58,0.01,-0.05,-0.04,-0.27,0.24,0.02,-1.73,-0.01,-1.73,0.27,-0.28,-4.79,-1.35,-6.79,1.90,-1.63,-7.52,-8.47,-8.47,3.15,-2.31,8.42,-0.66,-5.92,8.42,-0.65,pad
38.29,3.27,0.22,-0.80,3.27,0.01,-2.76,0.06,-2.76,0.71,-0.03,5.55,1.46,-1.84,5.55,-0.28,-18.42,13.59,-27.18,16.69,-4.51,68.98,-11.29,-31.11,73.38,10.26,14.73,-12.96,-15.22,14.73,1.49,pad
38.29,1.90,0.15,-0.95,1.90,-0.22,-0.68,-0.06,-0.68,0.45,0.06,4.65,0.77,-3.51,4.65,-0.53,-19.99,18.14,-19.99,20.24,3.64,55.72,-11.65,-19.44,55.72,-1.78,21.66,-9.65,-10.84,21.66,-1.93,pad
51.05,2.74,0.26,-1.43,2.74,-0.06,-1.46,-0.57,-1.46,1.20,-0.07,5.36,0.28,-1.30,5.36,0.02,-29.69,-8.23,-29.69,-8.23,-19.25,76.08,-4.04,-18.51,76.08,7.29,31.73,4.45,-4.78,31.73,3.57,pad
38.29,2.96,0.24,-1.21,2.96,-0.17,-2.20,-0.49,-2.20,1.32,0.09,5.59,-0.76,-1.74,5.59,-0.13,-3.94,7.39,-15.70,7.39,-8.31,34.16,-26.92,-30.76,34.16,-4.18,22.10,-7.99,-11.07,22.10,0.29,pad
25.52,1.92,0.29,-0.78,1.92,-0.06,-0.14,-0.29,-0.42,1.50,0.18,3.72,0.79,-0.89,3.72,0.03,1.91,2.39,-18.46,2.39,-8.84,67.67,3.84,-34.73,67.67,-2.25,19.98,-0.76,-10.17,19.98,0.30,pad
38.29,2.20,0.25,-0.93,2.20,-0.10,-0.57,-0.27,-0.57,0.65,0.05,3.82,0.99,-1.40,3.82,-0.10,-12.19,4.99,-18.59,5.96,-6.79,40.33,11.40,-31.95,40.33,-0.40,20.14,1.78,-6.67,20.14,2.22,pad
51.05,0.55,-0.19,-1.08,0.55,-0.08,2.08,-0.26,-0.41,2.08,0.21,1.85,0.61,-1.67,1.85,-0.43,-4.57,6.20,-16.49,6.20,-5.49,61.07,-4.57,-23.65,61.07,-2.77,27.20,2.75,-0.84,27.20,4.95,pad
51.05,-0.20,0.68,-0.42,0.68,-0.03,0.29,-0.60,-0.78,0.29,-0.09,-0.95,0.54,-0.95,0.54,-0.30,-8.18,1.71,-12.21,2.84,-3.68,-3.62,-3.34,-19.71,0.63,-8.71,0.89,3.42,-4.84,3.42,-0.91,pad
51.05,1.33,0.43,-1.15,1.33,-0.15,0.61,-0.45,-0.45,0.85,0.22,2.84,-0.09,-1.40,2.84,-0.30,-7.24,0.41,-14.68,0.41,-7.06,41.61,-4.52,-21.31,41.61,0.70,21.12,-4.38,-7.38,21.12,-1.38,pad
51.05,3.12,0.24,-0.89,3.12,-0.01,-2.39,-0.45,-2.39,1.70,0.03,4.70,-0.59,-1.44,4.70,-0.16,1.82,4.27,-16.50,4.27,-5.64,52.00,-8.37,-26.11,52.00,2.95,17.18,-4.45,-6.74,17.18,-0.74,pad
25.52,0.54,0.26,0.21,0.54,0.36,-0.28,-0.16,-0.28,-0.08,-0.18,0.49,-0.13,-0.48,0.49,-0.11,-1.06,-2.72,-2.72,-1.06,-2.11,1.72,-11.20,-13.21,1.72,-7.36,0.31,0.55,0.31,1.23,0.80,pad
25.52,0.24,0.25,0.19,0.29,0.24,-0.11,-0.19,-0.19,-0.00,-0.09,-0.31,-0.17,-0.64,-0.17,-0.42,-3.21,1.14,-3.21,1.14,-0.99,0.63,-7.98,-9.44,0.63,-5.46,0.59,0.54,0.10,0.86,0.52,pad
25.52,-0.02,0.01,-0.14,0.08,-0.03,-0.02,-0.15,-0.15,0.05,-0.04,0.48,-0.24,-0.50,0.48,-0.25,-4.87,2.39,-4.87,2.39,-1.93,2.46,-1.10,-8.46,2.46,-3.85,0.74,-1.11,-1.28,0.74,-0.40,pad
25.52,0.08,0.17,0.02,0.17,0.09,-0.18,-0.15,-0.18,-0.05,-0.12,0.40,-0.55,-0.83,0.40,-0.36,-2.06,1.63,-2.06,1.63,-0.31,7.69,-10.25,-10.25,7.69,-2.96,-2.91,-3.87,-4.14,-2.14,-3.26,pad
25.52,0.03,0.02,-0.14,0.17,0.03,0.01,-0.10,-0.28,0.16,-0.04,-0.06,-0.16,-0.86,-0.06,-0.41,-3.85,3.04,-4.87,3.04,-1.86,0.27,-2.01,-10.47,0.27,-5.43,2.30,0.86,-0.98,2.79,0.96,pad
25.52,0.02,0.09,-0.01,0.11,0.04,0.05,-0.15,-0.15,0.07,-0.03,0.49,-0.08,-0.59,0.49,-0.23,-4.99,1.16,-4.99,1.65,-1.67,5.51,-0.67,-7.30,5.51,-2.04,0.74,-0.64,-0.88,1.25,0.11,pad
38.29,0.21,-0.06,-0.06,0.29,0.11,-0.02,-0.07,-0.17,0.09,-0.05,0.25,0.14,-0.77,0.25,-0.26,-5.03,-0.77,-5.70,1.46,-2.48,9.53,-4.92,-7.31,9.53,-1.89,-0.68,1.00,-2.19,1.00,-0.44,pad
38.29,0.67,-0.21,-0.21,0.67,0.01,-0.31,0.03,-0.31,0.31,0.06,1.29,-0.14,-0.41,1.29,-0.01,-2.57,-1.55,-7.57,-1.55,-3.80,13.31,-3.83,-7.83,13.31,-1.12,3.02,0.43,-1.05,5.55,1.42,pad
25.52,0.18,0.06,-0.01,0.27,0.14,-0.27,0.02,-0.27,0.02,-0.10,0.61,-0.02,-0.40,0.61,-0.08,0.14,-1.69,-2.95,0.14,-1.59,3.41,-4.98,-6.87,5.20,-2.08,-2.13,1.23,-2.13,1.28,-0.14,pad
